"PA3" "PA5" "PA2" "PA1" "PA4"
"Q_initial" -0.000616645360196453 0.00255634210774138 0.00867544720535763 0.0096458932821905 0.00217762371789051
"Q_prep" 0.00139657149901418 0.0103775721981738 0.00608129308877829 0.0202401159428366 0.00134423267864657
"R_initial" -0.0139912641603866 -0.0132040633407789 -0.00185117005862739 0.054933007719088 0.019983536281165
"R_prep" -0.00697256645722702 0.0278110670537293 -0.0246076790114652 0.0786899483328865 0.00118479818219623
"X001_vpast" 0.421582652492274 0.292962430838561 0.410936880917504 0.209610690564654 0.823162860442043
"X002_perfect" 0.540408643298528 0.551615724258116 0.259778855601259 0.393519503161803 0.292474260049408
"X003_present" 0.643260872070353 0.478768661170099 0.589685576029989 0.415315669107125 -0.145528922786646
"X004_place_ads" 0.43417574959969 0.233215656625858 0.243605060017088 0.183036989750904 0.309897663840905
"X005_time_ads" 0.513861860853869 0.456278585848394 0.330869277288283 0.20969504410265 0.354737429629516
"X006_first_pps" 0.131974220612223 0.0645426963289975 0.695690750118788 0.226187598535956 0.229450100048468
"X007_second_pps" 0.0727148327347845 -0.0399633024373555 0.649233502365489 0.0545185608104419 0.124334692620473
"X008_third_pps" 0.393508208489554 0.201658037208879 0.610630513649786 0.384677361954733 0.614851000042839
"X009_pn_it" 0.446743859536878 0.516456386991773 0.633575473390086 0.468493672734744 0.123918470771849
"X010_dem_pn" 0.399014885845373 0.441502851892755 0.495142873114088 0.361699880373114 0.0251185905134449
"X011_indef_pn" 0.298133721614936 0.190328070375314 0.640642486783808 0.281768353056235 0.207180500213162
"X012_proV_do" 0.26347646899919 0.22264215300519 0.76797217948176 0.180663273917364 0.210149069874182
"X013_questions" 0.178154656154032 0.15618759480438 0.555577715039261 0.177980169287181 0.129332479760183
"X014_nominalizations" 0.643866564180464 0.811028849142471 0.066924200666742 0.417562500607556 -0.0275778927976713
"X015_gerunds" 0.493200084595508 0.357067537756985 0.211552727951569 0.183939222713443 0.128565664631388
"X016_other_nouns" 0.898423938516124 0.604278155356259 0.339570471879588 0.326003095172302 0.378382711836763
"X017_agentless_passives" 0.472501240713599 0.774330277667822 0.046108023901522 0.427335112850891 0.14574021131789
"X018_by_passives" 0.347641976212312 0.50007676425245 -0.0396718667959347 0.266852855822475 0.0950986151256779
"X019_mainV_BE" 0.643818827826981 0.585708794020591 0.532069493328178 0.549831020320597 0.159135334674029
"X020_ex_there" 0.333237211133612 0.41644770425974 0.344845095065361 0.343293151809271 0.0342372975478564
"X021_that_verb_compl" 0.364519924425104 0.621562843339602 0.184732807675491 0.262463483425303 0.142009973790498
"X022_that_adj_compl" 0.217204720316103 0.330836659952382 0.159879881826077 0.228798428873185 -0.0368969811530351
"X023_WH_clauses" 0.131318291658372 0.0734115078116968 0.378829856919311 0.0761793025729771 0.128365116875467
"X024_vinfinitive" 0.602890012492988 0.67372745702764 0.734132140467496 0.33351602887509 0.160224799836548
"X025_pres_part_clauses" 0.300927292716324 0.113453755038025 0.31895697350766 0.223097985155793 0.372304220961743
"X026_past_part_clauses" 0.327694624025552 0.16823888429884 -0.00746672977770225 0.179936688525897 0.215623314097767
"X027_past_part_WHIZ_deletion" 0.435799337874551 0.455820674214303 0.0164314374028068 0.220707129789978 0.238047195365394
"X028_pres_part_WHIZ_deletion" 0.444759323108297 0.327693434036805 0.228585730030504 0.127450646258848 0.267274810642365
"X029_that_RC_sub" 0.427888051739875 0.242307390678119 0.251754799224049 0.169633909569428 0.0308425140093103
"X030_that_RC_obj" 0.356462780824987 0.49254679930775 0.139877934079884 0.197372710098344 0.0901677481140362
"X031_WH_RC_subj" 0.375143874090863 0.410316314620677 0.16299335779439 0.36928141580746 0.0505320276848435
"X032_WH_RC_obj" 0.220760446729337 0.318414418709331 0.0599156463615775 0.39922654596972 -0.0300521725537842
"X033_pied_piping" 0.0798675917449078 0.153498546502406 0.0129367336077784 0.106165582454029 0.0126745621712942
"X035_because" 0.237812581576165 0.198536807754645 0.343520567574944 0.108062683692614 0.0241638649101142
"X036_al_though" 0.296530113824356 0.207695489613408 0.216845176664181 0.226165661408754 0.0746090496750478
"X037_if_unless" 0.296941548510729 0.43067877251288 0.547220978937923 0.268990086824094 -0.0103737931649349
"X038_adv_sub" 0.418062766780435 0.344200299950088 0.213747233819057 0.218248273585154 0.141035587812368
"X039_preps" 0.884835601052963 0.827895838091461 0.362866036871728 0.611010354547756 0.279766173808672
"X040_attr_adj" 0.950239110533916 0.619617223476567 0.298211272860974 0.547272225454347 0.0685857778629629
"X041_pred_adj" 0.450858871702428 0.445829149199007 0.581425775726275 0.41299638604842 0.0825052073613082
"X042_adverbs" 0.690421407453045 0.482876001678335 0.675945016963389 0.541127147910889 0.144406830271188
"X043_TTR" 0.928162388869822 0.668479175732074 0.528827477685939 0.505074884342033 0.35121541438365
"X044_meanWL" 0.938860619115619 0.760817725658933 0.459794178345983 0.515404671626757 0.310911908417152
"X045_conjuncts" 0.458430963802719 0.516098898895478 0.203387356121624 0.393344277616515 -0.137109188920429
"X046_downtoners" 0.495562745008658 0.403771382420655 0.286151906259316 0.397996703084499 0.0598316600658705
"X047_hedges" 0.0943242509878985 0.0115806990355049 0.369225713381629 0.0294376077209956 0.128189737589886
"X048_amplifiers" 0.297960523583803 0.349678226307412 0.316395362092857 0.421336958711083 -0.0140371758778153
"X049_emphatics" 0.58345971319536 0.368567921439091 0.56754169723505 0.387764590885509 0.00843836402623302
"X050_dic_parts" 0.184022655814301 0.0620791920908447 0.315992022591305 0.106570276825113 0.0943895027265924
"X051_demonstratives" 0.533903388709824 0.638357322611054 0.366549824616618 0.509413901467638 0.0216521453794264
"X052_poss_modals" 0.450718877418148 0.505426895197444 0.584962478293419 0.391017541576098 -0.0685704881529441
"X053_necess_modals" 0.252928076443304 0.486861306833512 0.282484215443529 0.386559275997558 -0.133718975949109
"X054_pred_modals" 0.362720379775674 0.653577653555001 0.300055089984759 0.21930707531996 -0.00939041424974829
"X055_public_verbs" 0.39345576326374 0.403289544061344 0.428069603678304 -0.0078982664308389 0.42940562474085
"X056_private_verbs" 0.446803142104008 0.390071850653694 0.753030342419244 0.382769107702585 0.319225295790087
"X057_suasive_verbs" 0.253999568679009 0.407334766992714 0.246835174650557 0.0968503955854372 0.239569413588437
"X058_seem_appear" 0.312885253593194 0.26157583565951 0.230039404278153 0.296808079030756 0.0940744117294239
"X059_contractions" 0.150763084674176 -0.0533959615488658 0.663297924327896 -0.038797855651324 0.213089354792292
"X061_prep_stranding" 0.0341060570946894 0.00782620114757663 0.083962688360807 -0.000399419963463017 0.0265849871143235
"X062_split_inf" 0.0812862244811658 0.0657062814691246 0.106264758904648 0.013640908841077 -0.00805231533503632
"X063_split_aux" 0.300718378806669 0.367045898307195 0.258141672319803 0.299851994098168 -0.124632425276935
"X064_phrasal_coord" 0.68382343709158 0.45233541068665 0.207390282298772 0.527073905485428 0.0755281242511583
"X065_clausal_coord" 0.37272240422952 0.389035722444082 0.373151870636207 0.714975014837152 0.165013798915745
"X066_synth_neg" 0.359867165055263 0.443826932326717 0.317418216502223 0.426508749722931 0.0868441034453931
"X067_anal_neg" 0.411900045826874 0.595287936678524 0.432087535953641 0.497881276500757 0.0157216345668899
"A01_get_pas" 0.0821381898518339 0.0014335454679451 0.228486938951453 -0.0133242820143953 0.0605463728609975
"A02_gen_s" 0.560475548738048 0.275010069591792 0.207764287176021 0.0653242744007216 0.291970985372985
"A03_adj_comp" 0.449128266280083 0.347173114842509 0.268830592119136 0.301501765263479 -0.122303843206905
"A04_adj_sup" 0.462883024817997 0.241241940635344 0.169949667220579 0.327678055583901 -0.00745429173761875
"A05_used_to" 0.100716720704646 0.00524399873756055 0.206559339103399 0.0325248682999754 0.0683022550035225
"A06_supposed_to" 0.0654481295120797 0.0556180313298367 0.0844942971861505 0.0373888786985685 0.03376513769176
"A07_able_to" 0.135849643477773 0.16007204045525 0.140436133864258 0.0740266835935885 0.00434413443161374
"A08_about_to" 0.0598862221252687 0.0387436957323862 0.0697004635660243 0.0361528768270905 0.0773480395463292
