Topic	TopWords1	TopWords2	TopWords3	TopWords4	TopWords5	TopWords6	TopWords7	TopWords8	TopWords9	TopWords10	TopWords11	TopWords12	TopWords13	TopWords14	TopWords15	TopWords16	TopWords17	TopWords18	TopWords19	TopWords20	TopWords21	TopWords22	TopWords23	TopWords24	TopWords25	TopWords26	TopWords27	TopWords28	TopWords29	TopWords30
1	candidate_0.0050921515	democrat_0.0048752227	kennedy_0.004637781	nixon_0.00458602	reporter_0.0044378676	editor_0.0043910993	johnson_0.0042330017	senate_0.003712323	presidential_0.0036769202	reagan_0.0036208807	television_0.0035146528	governor_0.0035014001	catholic_0.0030264002	bush_0.0029516516	eisenhower_0.0027471895	carter_0.0025473097	staff_0.0025322004	vietnam_0.002521998	communist_0.0023568887	conservative_0.0023308161	politics_0.0023195914	convention_0.0022258824	vice_0.0021939618	liberal_0.0021187954	voter_0.0020441827	interview_0.0019086421	network_0.0019038769	radio_0.0018749419	california_0.0018625446	media_0.0018312555
2	team_0.008577955	player_0.00686591	film_0.005540026	coach_0.0045136497	movie_0.004496392	sport_0.004428196	ball_0.0033971746	score_0.0032088368	song_0.003196	league_0.002979223	artist_0.002922939	audience_0.002883505	opera_0.002835936	theater_0.0028169572	football_0.0027307179	baseball_0.0026725277	sing_0.0026708103	musical_0.0025500243	actor_0.002526505	performance_0.0024876324	fan_0.0024845675	dance_0.0024202373	kid_0.0024095068	hollywood_0.002255458	manager_0.0021367697	tour_0.0019632166	guy_0.0019503556	band_0.0018967608	manhattan_0.001880169	golf_0.0018610574
3	boat_0.01323651	captain_0.012158553	sail_0.0054912944	deck_0.00505365	crew_0.0050370214	vessel_0.004868216	shore_0.0045715566	fish_0.004334134	lake_0.003906976	indian_0.003906019	beach_0.003726447	gun_0.0035915193	coast_0.0035317412	ice_0.0034206223	bay_0.0032251002	snow_0.0031635973	hunt_0.0029127598	sailor_0.0028096482	weather_0.0027638585	frank_0.0026400357	storm_0.002593949	cabin_0.0025653606	dog_0.0025471137	pilot_0.002538994	navy_0.002428603	port_0.0023969728	mountain_0.0022997973	plane_0.0021563068	sir_0.0021329115	harbor_0.0021146482
4	railroad_0.0061561074	machine_0.004349069	steel_0.004049494	contract_0.0040227883	profit_0.0037513792	product_0.0036753176	gold_0.0034321179	wage_0.0034294575	oil_0.0031334518	railway_0.0030730723	corporation_0.0030477445	engineer_0.0029799622	coal_0.0029780131	purchase_0.0029721775	manufacturer_0.0028884136	bond_0.002784672	exchange_0.0027216806	traffic_0.002709505	motor_0.002704889	industrial_0.0024656358	payment_0.0023974578	ton_0.0023836212	loan_0.0023832116	sales_0.0023194093	manufacture_0.0022672655	factory_0.0022573152	construction_0.0022537047	automobile_0.0022365737	engine_0.0022295164	currency_0.002211939
5	soul_0.004125681	heaven_0.003339797	lord_0.0028647583	dear_0.0026084012	sir_0.0024268492	sweet_0.0023999896	beauty_0.0022239655	lip_0.0020086092	joy_0.0018097813	bright_0.001621029	tone_0.0016197779	thought_0.0016164748	gaze_0.0015599411	flower_0.0015460425	youth_0.0015304285	noble_0.0014859829	gentleman_0.0014846097	faith_0.0014497092	grave_0.0014164948	pleasure_0.00137241	pray_0.0013488183	sister_0.0013354942	bless_0.001333876	sky_0.0013337925	behold_0.0013326854	fancy_0.0013215693	stranger_0.0013139425	sing_0.001311374	shadow_0.0012936259	dare_0.0012805746
6	p.-a_0.0053162286	dear_0.0049000597	aunt_0.0048247017	mary_0.0039611515	sir_0.0039001878	marry_0.003846294	john_0.003322406	sister_0.0032099243	uncle_0.0031607065	glad_0.0029305606	kiss_0.0026777128	afraid_0.0026125314	thank_0.0024433802	dinner_0.0024135145	jack_0.0022725705	sorry_0.0022277294	guess_0.002213938	frank_0.0021973634	pause_0.0021561808	rose_0.0021507482	glance_0.0021123777	hat_0.0020870743	nice_0.0020504291	lucy_0.0019039889	papa_0.0018939816	baby_0.0018876377	cousin_0.0018066666	mrs_0.0017087262	david_0.0016656643	tonight_0.0016241121
7	kid_0.004475308	guy_0.0035338164	stare_0.003056003	phone_0.0028703932	nod_0.0024893375	hell_0.00247584	baby_0.0024505535	okay_0.0021852776	guess_0.0021591801	leg_0.0021347238	nice_0.002045432	desk_0.0020172403	kitchen_0.001993157	lean_0.0019325376	sorry_0.0018657095	inside_0.0018622163	apartment_0.0017458954	coffee_0.0017315388	smell_0.0016558336	stuff_0.0016479047	dog_0.0016224821	bag_0.0016188795	cigarette_0.0016032961	clothes_0.0015675623	shirt_0.0015593703	dad_0.0014930507	bottle_0.0014676015	pocket_0.0014575813	shoe_0.001443347	grab_0.0014416394
8	paul_0.012835704	bird_0.009045552	planet_0.007704641	flower_0.0076647387	moon_0.007649581	sky_0.0039336807	leaf_0.0035496708	bee_0.0035458726	insect_0.0035343945	telescope_0.0034867898	linda_0.0033786548	ski_0.003309636	mars_0.0032584327	daisy_0.0032198024	pierre_0.0031975512	garden_0.0031091918	surface_0.0030813266	species_0.0030773939	cloud_0.0027695466	astronomer_0.0025865897	wing_0.002567451	nest_0.002558774	orbit_0.0025528953	jupiter_0.0024903738	bright_0.0024768778	galaxy_0.00232072	universe_0.002295959	solar_0.0022293413	comet_0.002107011	animal_0.00204004
9	cook_0.008501065	milk_0.0063475063	fruit_0.0063463775	sugar_0.0060960827	meat_0.0059089013	cup_0.005696615	dry_0.004550871	heat_0.0044181882	pound_0.0042622127	vegetable_0.004232731	butter_0.0041693277	bread_0.004047545	wine_0.003902056	salt_0.003853429	egg_0.003783807	fat_0.0037831448	dish_0.0037108976	crop_0.0037019297	farm_0.0037002533	oil_0.003530137	corn_0.0034864417	meal_0.0034528482	chicken_0.0034087962	potato_0.0031936727	seed_0.0030386276	farmer_0.0029830027	mix_0.0029479405	fish_0.0029461647	apple_0.0029263448	taste_0.0027019454
10	horse_0.005084038	wood_0.0026290119	dog_0.0024638935	mountain_0.0021591876	stare_0.0021109676	trail_0.0019640573	leg_0.0019119239	lip_0.0018687453	stone_0.0018558447	de_0.0018439984	camp_0.0017476516	shout_0.0017351486	sky_0.0016564314	gray_0.001647537	glance_0.0016275857	whisper_0.0015812383	shadow_0.001552912	bird_0.0015317437	indian_0.0014698918	lean_0.0014523967	gun_0.0014501045	edge_0.0014434439	swing_0.0014408868	silence_0.0014324504	rain_0.0014123989	nod_0.0014078037	grass_0.0013664757	animal_0.0013648613	breath_0.0013546511	climb_0.0013382578
